generation,population_size,best_total_fitness,avg_total_fitness,best_trace_score,avg_trace_score,best_overlap_score,avg_overlap_score,best_trace_length_mm,avg_trace_length_mm,best_overlap_penalty,avg_overlap_penalty,min_overlap_penalty,feasible_count,infeasible_count,feasible_ratio,diversity_all_mm,diversity_feasible_mm,diversity_infeasible_mm,trace_weight,overlap_weight,mutation_rate,sigma_xy_mm
23,50,0.9717810699131559,0.679329647213996,0.9568694591002924,0.6027142234450629,0.987214617449628,0.7586267667273852,806.175042077909,1158.1580857913812,0.0282615,0.5335444289803845,0.0,13,37,0.26,54.47247047279383,53.26972133896267,55.22868976702576,0.5085999999999999,0.4914,0.60676,23.067999999999998
24,50,0.9665010437203345,0.7307759569248798,0.9421203447794315,0.6561325040029632,0.9915540409288699,0.8074777045745704,806.175042077909,1096.6025397595963,0.0282615,0.6442097109804918,0.0,14,36,0.28,49.889177142789286,50.72473342239645,49.416732547805665,0.5067999999999999,0.4932,0.60488,22.983999999999998
25,50,0.9675356616049522,0.7118650695574005,0.9439577793194703,0.670246489354366,0.9915898647446864,0.754324429158476,806.175042077909,1106.8981795627008,0.0282615,0.8255705686719995,0.0,12,38,0.24,51.04979004766711,51.464279123054695,51.36216023462772,0.505,0.495,0.603,22.9
26,50,0.9623996755087688,0.5927249042873658,0.9384673090396982,0.48319285236195614,0.9866403494363781,0.7036679971393507,806.175042077909,1113.1140813293862,0.0282615,0.6268717028909905,0.0,13,37,0.26,53.727941767678935,54.9299121890133,52.99030188893909,0.5032,0.4968,0.60112,22.816
27,50,0.9589731788209592,0.6817652923860164,0.9287407223538412,0.5875589749253628,0.9893754124202632,0.776500646527155,806.175042077909,1131.4807251604616,0.0282615,0.5945103215318629,0.0,10,40,0.2,53.02040849436505,58.479484022430775,51.805485541243804,0.5014000000000001,0.4986,0.59924,22.732
28,50,0.98680251024251,0.708559621261493,1.0,0.6051229953410394,0.9736261195893486,0.8118308808735205,752.8122238681916,1106.2597117632858,0.095062875,0.6782429119969945,0.0,14,36,0.28,51.53031725691164,53.41771983515321,51.00276035730899,0.49960000000000004,0.5004,0.59736,22.648
29,50,0.9214769489796135,0.6438864572229392,0.8728916088340849,0.4728946532110864,0.9696366111151058,0.8133801251582247,752.8122238681916,1099.1350848863776,0.095062875,0.5842767387346965,0.0,14,36,0.28,52.25751255419087,53.00455821019054,51.55270026849648,0.4978,0.5022,0.59548,22.564
30,50,0.9793309329802439,0.7553219907097025,0.9819773657238937,0.7242288534478,0.9767265071055409,0.7859215861103049,752.8122238681916,1068.2158080737795,0.095062875,0.8744243759233657,0.0,8,42,0.16,52.52710641478848,55.423388754999856,51.96533527843129,0.496,0.504,0.5936,22.48
31,50,0.9028504434730148,0.682053525412771,0.8217317206841993,0.5381202175246557,0.9821087922318772,0.8226858717123093,752.8122238681916,1063.7009297252143,0.095062875,0.9421382296604597,0.0,9,41,0.18,52.240189517042786,54.60960130302121,51.521156961090504,0.4942,0.5058,0.59172,22.395999999999997
32,50,0.9554633477144965,0.6765680422928761,1.0,0.5983617667896577,0.91226033828703,0.7524324435099463,678.7161772429507,1038.072687738726,0.26636531478465997,0.7515804007846348,0.0,11,39,0.22,50.41589953442707,56.368664915103345,48.56405243674413,0.49239999999999995,0.5076,0.58984,22.311999999999998
33,50,0.9290050081027039,0.6456526651690901,0.9588837800294683,0.5421276796236214,0.9002289470362129,0.7453569406080517,678.7161772429507,1022.199620988691,0.26636531478465997,0.6798372539706891,0.0,12,38,0.24,48.53359764088493,50.553908009091764,48.16727401652621,0.49060000000000004,0.5094,0.58796,22.227999999999998
34,50,0.9096769387096639,0.652485395646095,0.8911327969490106,0.5091315024533796,0.9274085046185203,0.7895577410932766,678.7161772429507,997.3216993497394,0.26636531478465997,0.7721912634959378,0.0,6,44,0.12,45.93726472806101,51.914388902771414,45.611956773620626,0.4888,0.5112,0.58608,22.144
35,50,0.9153775730472684,0.6500067709970504,0.947470244324606,0.6258680508472605,0.8849114309184899,0.6729220862269679,678.7161772429507,993.1707045398075,0.26636531478465997,0.7570014307811946,0.0,8,42,0.16,44.14446400469763,41.292538874982895,43.9732753537593,0.487,0.513,0.5842,22.06
36,50,0.9632249199285887,0.648050954472616,1.0,0.49101776943760017,0.9285643355256192,0.7960550364053853,678.7161772429507,1082.2485368353048,0.26636531478465997,0.7604585864265029,0.0,7,43,0.14,49.683526577398226,48.262428536649864,49.830850044357675,0.48519999999999996,0.5148,0.5823200000000001,21.976
37,50,0.9063860428179178,0.6407855389785254,0.9012291063794708,0.5431632314244357,0.9112115617384466,0.7321340164691315,678.7161772429507,1061.024926285931,0.26636531478465997,0.8035979505926057,0.0,9,41,0.18,51.1665723795472,50.72082959725972,51.37351068875801,0.48340000000000005,0.5166,0.5804400000000001,21.892
38,50,0.8769881803838399,0.5968415905093734,0.8528464434963927,0.4672528597690263,0.8994161519984127,0.7172311212280291,678.7161772429507,1059.6465755533093,0.26636531478465997,0.7488262072078686,0.0,6,44,0.12,46.310470063603915,51.4360779893127,45.0070903709698,0.48160000000000003,0.5184,0.57856,21.808
